1,"ITZCOATL DRILLING & SERVICES, S.A. DE C.V.",AV. CASTILLA PTE.,5,,QUINTA EMILIA.,,MEXICO.,SONORA.,HERMOSILLO.,Ing. Rafael Gutierrez Medina. ,662 167 58 66,rafael@itzcoatldrilling.com,juan.monge@itzcoatldrilling.com, 01 662 302 43 07,01 662 216 41 77,D:\Practicante\Desktop\Imagenes Contratos\1_Logo.jpg,0
2,FERNANDEZ AGUIRRE MIGUEL ANGEL ,CALLE LOS PIRULES.,19,,FUENTES DEL MEZQUITAL.,,MEXICO.,SONORA.,HERMOSILLO.,Ing. Miguel Angél Fernández A.,662 138 99 05,mafernandeza@hotmail.com,, 01 662 212 26 54,,,0
3,PEREZ VEGA MIGUEL,CALLE DE LOS VOLCANES.,45,,AKIWIKI.,,MEXICO.,SONORA.,HERMOSILLO.,Ing. Miguel Perez.,618 136 8998,miguel.perezv56@gmail.com,,,,,0
4,"SOLUCIONES MINERAS DEL NOROESTE, S.A. DE C.V.",AV. SIETE,1,,SACRAMENTO RESIDENCIAL.,,MEXICO.,SONORA.,HERMOSILLO.,Ing. Omar Felix Savedra.,,fsomar64@hotmail.com,,01 662 210 23 62,,,0
5,"ENERGOLD DE MEXICO, S.A. DE C.V.","JAIME BALMES, TORRE D PISO 3",11,,LOS MORALES POLANCO.,11510,MEXICO.,CIUDAD DE MÉXICO,DEL. MIGUEL HIDALGO.,Ing. Jesús Herrera.,,info@energold.com  ,jherrera-mex@energold.com.mx,01 555 586 25 23 ,01 555 754 83 70,D:\Practicante\Desktop\Imagenes Contratos\5_Logo.jpg,0
6,"GLOBEXPLORE DRILLING, S.A. DE C.V",CALLE ENRIQUE MAZON RUBIO.,915,,LA VICTORIA.,,MEXICO.,SONORA.,HERMOSILLO.,Ing. Victor Manuel Diaz.,(622) 116 7500 ,vdiaz@globexploredrilling.com,jnavarro@globexploredrilling.com ,662 215 32 67,,D:\Practicante\Desktop\Imagenes Contratos\6_Logo.jpg,0
7,"TORO DRILLING, S.A. DE C.V.",AV. DE LOS TARAUMARAS,11,,PARQUE INDUSTRIAL.,,MEXICO.,SONORA.,HERMOSILLO.,Ing. David Elias Brown.,,david.elias@toro-drilling.com,,01 662 251 06 83,01 662 251 06 84,D:\Practicante\Desktop\Imagenes Contratos\7_Logo.jpg,0
8,"SOLUCIONES DE SOLDADURA Y APLICACIONES, S.A. DE C.V.",PERIFERICO NORTE KM 31.,2105,,LA ANGOSTURA.,,MEXICO.,SAN LUIS POTOSÍ.,S.L.P.,Andreas Jungbluth.,"
444 1885658
",info@andreselsoldador.com,aux.administrativo@andreselsoldador.com,52 (444) 8413839,,D:\Practicante\Desktop\Imagenes Contratos\8_Logo.jpg,0
9,"TECH ENERGY & GROUNDING MX, S.A. DE C.V.",CALLE AGRICULTURA.,560,,BUROCRATA.,,MEXICO.,SAN LUIS POTOSÍ.,S.L.P.,Ing. Javier Zamudio Esquivel.,444 582 37 64,javier.zamudio@teg-sa.com.mx,luz.verastegui@teg-sa.com.mx,01 444 817 00 30,,D:\Practicante\Desktop\Imagenes Contratos\9_Logo.jpg,0
10,"INDUSTRIAL DE CARBON SIGNUM, S.A.P.I. DE C.V.",CARR. ROSITA MUZQUIZ KM 9.7,,,,,MEXICO.,COAHUILA,SAN JUAN DE SABINAS.,Rogelio J.Montemayor.,,rmontemayor@signum.net,contacto@signum.net,01 861 103 25 69,,D:\Practicante\Desktop\Imagenes Contratos\10_Logo.jpg,0
